spelling_accuracy,grammatical_accuracy,percentage_of_corrections,percentage_of_phonetic_accuraccy,presence_of_dyslexia
98.73949579831933,83.33333333333334,16.666666666666664,99.22720942419639,0
99.22879177377892,85.13513513513513,14.864864864864865,99.25721325576421,0
99.71509971509973,87.14285714285714,12.857142857142856,99.74360388516101,0
98.08743169398907,82.27848101265822,17.72151898734177,98.91831131831132,0
99.51100244498777,92.64705882352942,7.352941176470589,99.75893681045939,0
99.42196531791907,81.69014084507043,18.30985915492958,99.64754333857474,0
98.78048780487805,90.47619047619048,9.523809523809524,98.76234478840222,0
98.26086956521739,85.04672897196261,14.953271028037381,98.50742561175414,0
97.80564263322884,83.07692307692307,16.923076923076923,98.59132912235557,0
97.87985865724382,87.09677419354838,12.903225806451612,98.50783226850422,0
97.18670076726342,82.5,17.5,98.50838252160754,0
98.19277108433735,82.6086956521739,17.391304347826086,98.459940114291,0
97.76536312849163,90.0,10.0,98.7994850213226,0
98.49397590361446,82.85714285714285,17.142857142857142,98.91122236470076,0
99.63503649635037,87.14285714285714,12.857142857142856,99.71973554582252,0
98.98648648648648,87.93103448275862,12.068965517241379,99.02887353874196,0
98.71794871794873,82.95454545454545,17.045454545454543,99.07392811530742,0
97.89156626506023,84.84848484848484,15.151515151515152,98.42874072941356,0
98.82629107981221,98.52941176470588,1.4705882352941175,99.34104539624691,0
97.14285714285714,85.55555555555556,14.444444444444443,97.91619137865814,0
98.25072886297376,85.71428571428572,14.285714285714285,98.67666123830509,0
98.48942598187311,80.82191780821918,19.17808219178082,98.42367669182437,0
98.91598915989161,97.1830985915493,2.8169014084507045,98.99504363100236,0
99.68354430379746,95.0,5.0,99.71479861569338,0
98.35164835164835,90.0,10.0,98.80551497602403,0
98.32869080779945,85.71428571428572,14.285714285714285,98.74515410395308,0
98.47826086956522,97.1830985915493,2.8169014084507045,98.61701229811761,0
98.30985915492958,77.90697674418605,22.093023255813954,99.24739675367498,0
98.25918762088975,85.41666666666666,14.583333333333334,98.91297235075304,0
98.36512261580381,87.32394366197182,12.676056338028168,98.81673193522057,0
96.61016949152543,80.88235294117648,19.11764705882353,97.64630982849329,0
98.65470852017937,83.9506172839506,16.049382716049383,99.35801767676769,0
97.65395894428153,84.72222222222221,15.277777777777779,97.97058658626634,0
99.0074441687345,91.89189189189189,8.108108108108109,99.26757233367572,0
99.12280701754386,86.66666666666667,13.333333333333334,99.40719941306936,0
97.99107142857143,90.66666666666666,9.333333333333334,98.0803159236933,0
98.01699716713881,87.5,12.5,98.64903190742082,0
97.52808988764045,90.14084507042254,9.859154929577464,98.45662807482255,0
